MAP|Precision_1|Precision_5|Precision_10|Recall_1|Recall_5|Recall_10
0.1895|0.3321|0.2803|0.2495|0.0208|0.0830|0.1436
0.1879|0.3280|0.2770|0.2462|0.0195|0.0817|0.1412
0.1882|0.3202|0.2788|0.2473|0.0199|0.0829|0.1419
0.1889|0.3267|0.2765|0.2463|0.0208|0.0837|0.1429
0.1880|0.3258|0.2789|0.2462|0.0203|0.0832|0.1414
0.1876|0.3177|0.2771|0.2482|0.0196|0.0818|0.1418
0.1884|0.3200|0.2782|0.2466|0.0197|0.0834|0.1441
0.1885|0.3253|0.2765|0.2470|0.0197|0.0824|0.1420
0.1891|0.3285|0.2791|0.2469|0.0203|0.0831|0.1420
0.1879|0.3308|0.2767|0.2446|0.0206|0.0826|0.1411
0.1888|0.3267|0.2745|0.2474|0.0206|0.0814|0.1427
